host_response_time,host_response_rate,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,year,month
,,f,1,-22.94685411,-43.18273724,Apartment,Entire home/apt,4,1,0,2,Real Bed,"{TV,Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}",,$133.00 ,"$1,025.00 ",$102.00 ,2,$34.00 ,60,38,91,9,9,9,9,9,9,f,f,strict_14_with_grace_period,2018,4
within an hour,100%,t,2,-22.96591903,-43.17896231,Condominium,Entire home/apt,5,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}",,$270.00 ,$0.00 ,$273.00 ,2,$51.00 ,4,205,93,10,9,10,10,9,9,t,f,strict,2018,4
within an hour,100%,f,1,-22.98569789,-43.20193478,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}",,$222.00 ,$851.00 ,$211.00 ,2,$215.00 ,3,85,95,10,10,10,10,10,9,f,f,strict,2018,4
within an hour,100%,f,3,-22.9771168,-43.19045415,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$161.00 ,"$1,000.00 ",$220.00 ,2,$45.00 ,4,208,94,9,10,10,10,10,9,f,f,strict,2018,4
within an hour,100%,t,1,-22.9830237,-43.21427005,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$222.00 ,,$85.00 ,2,$68.00 ,2,200,96,10,10,10,10,10,9,t,f,strict,2018,4
within an hour,100%,t,1,-22.9881647,-43.19358772,Apartment,Entire home/apt,3,1.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}",,$308.00 ,$856.00 ,$158.00 ,2,$86.00 ,2,116,94,10,9,10,10,10,9,f,f,strict,2018,4
within an hour,100%,t,1,-22.98126898,-43.19045722,Loft,Entire home/apt,2,1,1,2,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Bathtub with bath chair"",""Wide entryway"",Beachfront}",0,$219.00 ,$400.00 ,$140.00 ,2,$80.00 ,3,255,97,10,10,10,10,10,10,t,f,strict,2018,4
within a day,50%,f,1,-22.9668079,-43.18657351,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}",,$150.00 ,,$150.00 ,1,$150.00 ,4,1,,,,,,,,f,f,moderate,2018,4
within a few hours,100%,f,3,-22.9219902,-43.18383628,Apartment,Entire home/apt,3,1,0,2,Real Bed,"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}",323,$120.00 ,"$2,049.00 ",$512.00 ,1,$0.00 ,3,1,80,6,4,8,6,6,4,f,f,strict,2018,4
within an hour,94%,f,6,-22.9863328,-43.20256263,Apartment,Entire home/apt,14,7,6,7,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,"$3,241.00 ","$2,947.00 ",$421.00 ,7,$126.00 ,2,33,87,9,9,9,8,10,8,t,f,strict,2018,4
